Address,amount
0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,8.59508191454182e+25
0xaf2358e98683265cbd3a48509123d390ddf54534,8.59508191454182e+25
0x8e5ca1872062bee63b8a46493f6de36d4870ff88,8.59508191454182e+25
0x836b50c2d4494c9963832e8a790d429350998198,8.59508191454182e+25
0x6925fc4c77c5824ea899cfd4c5102d689d6859d6,8.59508191454182e+25
0x850d763e533d4367348f03fd775b5cdd7dac41dd,8.59508191454182e+25
0x08abf976fe94867f56f722f51a1573ed60d85031,8.59508191454182e+25
0xd7c7a6ad7cec69bc3b9c35386661594326e4e6c7,8.59508191454182e+25
0xdfc9b13bd2dc0afc13e3a81466bad5a6b3f15451,8.59508191454182e+25
0x4a2c786651229175407d3a2d405d1998bcf40614,8.59508191454182e+25
0xcb9fbdbd60009b911ad95e35b77257ae558a14a8,8.59508191454182e+25
0xa8d7010f5ad799a0ecb123093ce19e28ba438cff,8.59508191454182e+25
0x0be167856e9b54e0088f04c2f611f59871d89e39,8.59508191454182e+25
0xcf495e2cc0b1a59ea07d71e322eced8c71bafa99,8.59508191454182e+25
0x1b119139b73263451a4a746d17f329bd013625b2,8.59508191454182e+25
0x1ae19bf8008996f76d906055fac44f5d33216b71,8.59508191454182e+25
0x5bfc0f02fca8b80db0b9a307318d1d734203802d,8.59508191454182e+25
0x6b75d8af000000e20b7a7ddf000ba900b4009a80,8.59508191454182e+25
0x08c1ac67211b68b0e8d1ddc44771a3ac5d34cbf4,8.59508191454182e+25
0x00000000a991c429ee2ec6df19d40fe0c80088b8,8.59508191454182e+25
0xc0314e2c4e464d5e9532329df6b6ebb31c7d2bfc,8.59508191454182e+25
0x136d02dc8af604a5f943be670f826b6cd5b9b660,8.59508191454182e+25
0xebe336529eaed72f51780e2016d9b903d910b8a9,8.59508191454182e+25
0xdac255ac7351264a9be0f5086642856ccdc7a231,8.59508191454182e+25
0x9e4a9b4334f3167bc7dd35f48f2238c73f532baf,8.59508191454182e+25
0x0fba98d3a08b27885db8414254a302087ae0295f,8.59508191454182e+25
0x2d7d5a9ad74f16d310ab59dc676e9978a1ceda02,8.59508191454182e+25
0x89d228b0905c9a7b3e742c0c8fa061bbf147ab19,8.59508191454182e+25
0x216dace345a03c36471e0357e39639d9a6796640,8.59508191454182e+25
0x000000000005af2ddc1a93a03e9b7014064d3b8d,8.59508191454182e+25
0x1111111254eeb25477b68fb85ed929f73a960582,8.59508191454182e+25
0x8c416c381fa0da2df0a33b5245cefe3c0f8c774d,8.59508191454182e+25
0x012d20a5cec8006ea95b21c5da97f3f32b6795f2,8.59508191454182e+25
0x0b72d63a587541c5037f94117603134551e28e30,8.59508191454182e+25
0x25cd302e37a69d70a6ef645daea5a7de38c66e2a,8.59508191454182e+25
0xf254bb0900e3ce1e2ff509a75eaaddb477713eeb,8.59508191454182e+25
0x51bd8ae96f11b6e5d328d961ef6afadc22bdbf78,8.59508191454182e+25
0xe2da7fe4f82af891c3d23a7ecabd1f7d7562bf09,8.59508191454182e+25
0x76b5a83c8c8097e7723eda897537b6345789b229,8.59508191454182e+25
0x637fed24d31822d36a74fd9e35fa5b9f05820ef0,8.59508191454182e+25
0x726d56ecad4f03547a4112fe43f701f402f473bb,8.59508191454182e+25
0x10cbc9e6bd4e4351d59e1e9dd06e9fdb7da017a1,8.59508191454182e+25
0xde52a972d18b5bc95d4f01d85ebe63265926d2ce,8.59508191454182e+25
0x4614840e8978652db0e3cc1fbc70987ff17b972c,8.59508191454182e+25
0x45203442560740c56a2c7ec47d30ef294627ba2a,8.59508191454182e+25
0x8b5b9497e096ee6ffd6041d1db37a2ac2b41ab0d,8.59508191454182e+25
0x4d5b6c477ed600cfdbd33d90594f6ddcff8187d5,8.59508191454182e+25
0xb8b815893c426b49496e7ae9c94ec56d2e62b78a,8.59508191454182e+25
0x8d163039d749964a2ae45122e019f6601f626d49,8.59508191454182e+25
0xb7476dee38bb29e32bd102b03f3a0a252476e089,8.59508191454182e+25
0x13b3a50f3947476eda74fe191344524e2d2d28e5,8.59508191454182e+25
0x030dacaadebb91adebe1321e63d06b430ebdd0d6,8.59508191454182e+25
0xeee899b6521db73e94f4b9224cdf3db0010fa334,8.59508191454182e+25
0x8029d21e727418eba70a036e976bbceffe57e342,8.59508191454182e+25
0xd002ed5d24fa4d0d8bc9af8ccc330a2a40cea686,8.59508191454182e+25
0xda7140f575c7ec06f42a27909eee90ec5b878d5f,8.59508191454182e+25
0xf7cb731f4d98354ea321f1ca49e034244acfcff4,8.59508191454182e+25
0x50152eb210c294e0f57331c27609c68a91465e2f,8.59508191454182e+25
0x02fb3e88e8953f2d860ab135f9982e75c3cc5c1c,8.59508191454182e+25
0x00000000003b3cc22af3ae1eac0440bcee416b40,8.59508191454182e+25
0x33fb5c562614289e95194b45ce0b6bbdec076575,8.59508191454182e+25
0xe2d509d70989f876427c0a67499b304506fe6d50,8.59508191454182e+25
0x9ead5e6e90440e69b5f28fef5942a5b273387c13,8.59508191454182e+25
0xaa8654eb39a895ac57c35eb27778b419563baaa9,8.59508191454182e+25
0x5af40f96f5236b46806b636af7e00422f7841ece,8.59508191454182e+25
0x429b1aca55a7a27d7d73e311a16839c135969fda,8.59508191454182e+25
0x7a2d89bffffbf33c6bc884087bd3df5c49c9fffa,8.59508191454182e+25
0x84684bb967d06d63113b5ea2bc68398254687000,8.59508191454182e+25
0xeb534507a7be156eae2ce306fc5621996305e2f8,8.59508191454182e+25
0x8551c4d952221de0734d6ea7f18572913de9eac6,8.59508191454182e+25
0xb11f38078c2b018641b8bb80a2c1655133e6bd70,8.59508191454182e+25
0xef9fdc930d645299d01440d82b6c417cbd8f7162,8.59508191454182e+25
0x7236d96878a1218702c47fdb612b912a65fadb2d,8.59508191454182e+25
0x5e0a088942ec09c9ea98ae237625f063a3bed237,8.59508191454182e+25
0xa462b73dffb06bb483bc9d39ae6e9425fcef91b5,8.59508191454182e+25
0xe6fedb8479e6769163ecbc2e5e491e63ddc51cf5,8.59508191454182e+25
0x696665a159323b2ef46b38d6c2493e83b6597e2a,8.59508191454182e+25
0x4e14fc11f58b64740e66e4b1aa188a4b007c0eab,8.59508191454182e+25
0xfd9ce48c96617bf6ccc7c37044b1a22638b71e02,8.59508191454182e+25
0xdeaa067e429ad097465d8f3b50ca306f13061038,8.59508191454182e+25
0xe67eedf10c5eb6b61d0f3a6e1ddec15b5211a8ca,8.59508191454182e+25
0xeb6bc3940c9fe8d7a90baeb168f64f2fecd9a5ce,8.59508191454182e+25
0x271a97c79c334abb65ed18141062cf79240be234,8.59508191454182e+25
0x901da172c257ba6a52a17a8aae2b03277a470163,8.59508191454182e+25
0xe744544f50fc6bde59cd8ed3e656487d4791357f,8.59508191454182e+25
0x9af0c21b8cecf84dad025b2fb47f54446df5d5f6,8.59508191454182e+25
0xf45cb82cf57390868feedf42a20ced61576a5a75,8.59508191454182e+25
0xc57129d9c9c728fd8a774ac44fa0b5e04a7463b0,8.59508191454182e+25
